date,PX_OPEN,PX_LAST,PX_HIGH,PX_LOW,VOLUME
2015-05-03,234.76,240.57,243.73,233.75,19159.47838
2015-05-04,240.69,238.54,243.6,236.98,24658.09329
2015-05-05,238.68,235.87,239.49,231.05,26115.90771
2015-05-06,235.85,229.27,236.75,226.42,47524.99717
2015-05-07,229.04,237.3,239.79,227.81,27216.12712
2015-05-08,237.3,244.5,249.22,236.2,31065.29966
2015-05-09,244.52,242.54,249.21,240.1,19372.31105
2015-05-10,242.53,240.73,245.95,238.79,11933.40665
2015-05-11,240.8,242.46,245.49,238.5,15989.07725
2015-05-12,242.44,241.92,244.67,240.86,13639.3247
2015-05-13,242.01,235.7,245,234.22,27912.30564
2015-05-14,235.72,236.7,238.39,232.1,19130.36373
2015-05-15,236.7,237.3,239,233.88,9526.752297
2015-05-16,237.24,235.7,237.58,234,6100.362871
2015-05-17,235.85,236.15,238.24,235.6,4806.560156
2015-05-18,236.25,232.82,237.25,229,14181.5302
2015-05-19,232.83,231.7,233.99,231.19,5868.661401
2015-05-20,231.56,234.24,235.24,231.56,11419.18037
2015-05-21,234.26,235.27,236.5,233.9,10508.63081
2015-05-22,235.25,240.97,241.83,234.59,22839.3337
2015-05-23,240.97,238.81,241.2,237.54,8514.038277
2015-05-24,238.86,240.96,242.98,238.52,7277.277084
2015-05-25,240.92,237.1,241.12,236.1,8684.720252
2015-05-26,237.1,237.36,238.5,235.26,8818.487224
2015-05-27,237.37,236.48,239.3,235,9190.040451
2015-05-28,236.75,236.86,237.5,235.85,5791.218708
2015-05-29,236.83,236.52,237.16,235.02,6839.528844
2015-05-30,236.72,232.54,236.73,228.2,14770.9904
2015-05-31,232.35,228.7,232.69,227,11657.27449
2015-06-01,228.38,222,230.89,219.71,31722.40363
2015-06-02,222.01,224.68,226,220.97,16451.17196
2015-06-03,224.7,225.14,227,222.26,17205.46369
2015-06-04,225.14,223.24,225.77,222.64,11211.32244
2015-06-05,223.24,224.51,229.23,222.65,17603.33492
2015-06-06,224.7,225.66,228,223.9,6830.975983
2015-06-07,225.69,223.26,227,222.29,17255.89548
2015-06-08,223.29,228.76,230.63,223.25,28828.66238
2015-06-09,228.79,229.06,232.07,227.79,16389.23269
2015-06-10,229.06,228.6,229.97,227.48,10773.51262
2015-06-11,228.61,230,230.7,228.6,9540.223746
2015-06-12,229.99,229.55,231.34,229.11,9752.034078
2015-06-13,229.51,232.87,234.3,228.4,11058.6271
2015-06-14,232.86,233.54,235.44,232.51,8262.111097
2015-06-15,233.5,236.98,238.16,233.35,19153.66136
2015-06-16,236.97,252.17,254,236,50864.75832
2015-06-17,252.19,248.95,259.1,246,47507.56832
2015-06-18,248.96,249.51,253.7,243,27557.79402
2015-06-19,249.38,244.56,252.13,243.5,23929.3557
2015-06-20,244.56,245.38,245.9,240,23906.50021
2015-06-21,245.38,244.25,245.69,241.09,8170.86177
2015-06-22,244.25,246.67,247.99,243.5,18508.52656
2015-06-23,246.69,244.25,247.35,242,11550.64366
2015-06-24,244.19,239.8,244.19,239,15567.44407
2015-06-25,239.75,242.05,243,239.5,8703.176193
2015-06-26,242.15,243.29,243.9,240.61,10163.37071
2015-06-27,243.29,251.61,251.77,242.6,18134.80647
2015-06-28,251.6,248.71,252.06,247.25,12904.13085
2015-06-29,248.71,256.69,257.74,248.57,34766.03163
2015-06-30,256.7,263.07,269,253.05,47278.28915
2015-07-01,262.9,258.1,264.81,252.77,21543.00132
2015-07-02,258.08,254.52,262.61,253,17333.69829
2015-07-03,254.52,256.09,256.9,252.11,11646.456
2015-07-04,256.12,260.58,262.64,253.57,9650.009147
2015-07-05,260.57,271.96,275.88,258,47847.8565
2015-07-06,271.82,269.23,278.69,267.33,56663.37218
2015-07-07,269.24,265.72,271.5,262.61,22261.54093
2015-07-08,265.78,270.52,274.11,263,35178.24762
2015-07-09,270.49,269.23,274,266.22,24012.13725
2015-07-10,269.22,285.36,296.1,268.58,89653.52305
2015-07-11,285.35,293.18,301.49,283.46,39246.40431
2015-07-12,293.19,311.15,316.23,291.81,60434.98402
2015-07-13,311.18,292.65,312,281.5,74185.04906
2015-07-14,292.6,286.83,297.25,286,23532.18616
2015-07-15,286.87,285.42,294.44,283.51,21724.73337
2015-07-16,285.42,278.94,295,275.21,52862.42327
2015-07-17,278.93,279.82,281.55,272,25360.43592
2015-07-18,279.52,277.25,283.33,276.12,15393.9052
2015-07-19,277.25,275.04,279.18,274.69,8015.116446
2015-07-20,275.04,280.2,280.5,273.5,12344.24155
2015-07-21,280.2,275.55,282.1,275.09,13041.15058
2015-07-22,275.55,277.99,278.39,274.5,10965.62496
2015-07-23,277.88,276.51,278.44,275.56,5434.124773
2015-07-24,276.48,288.6,289.93,276.02,24289.51714
2015-07-25,288.58,289.37,292.35,286.39,11608.53006
2015-07-26,289.36,293.01,294.57,288.12,9326.277817
2015-07-27,293,294.84,298.74,286,25470.11208
2015-07-28,294.73,295.23,298.93,293.61,14363.1927
2015-07-29,295.24,289.92,295.68,286.02,15838.21441
2015-07-30,289.92,288.21,291,284.01,12138.69713
2015-07-31,288.02,284.45,289.85,281,14587.82173
2015-08-01,284.45,280.31,284.99,276.53,12322.36791
2015-08-02,280.31,282.44,283.44,276.26,11744.26293
2015-08-03,282.44,281.28,287.05,279.7,14793.62873
2015-08-04,281.28,285.47,285.94,281.28,11989.28782
2015-08-05,285.47,282.41,285.94,279.7,8849.632247
2015-08-06,282.58,279.08,282.58,278,8941.090099
2015-08-07,279.08,280.19,281,276.07,12711.18708
2015-08-08,280.04,261.34,280.32,260.62,36959.89706
2015-08-09,261.43,265.58,267.6,260.73,20867.96225
2015-08-10,265.69,265.1,267.72,262.17,10783.26024
2015-08-11,265.09,271.96,272.99,264.81,12654.87381
2015-08-12,271.97,267.09,273.75,265.8,16300.51608
2015-08-13,267.09,264.47,268,263.33,12871.17274
2015-08-14,264.47,266.09,268.97,262.13,13586.58736
2015-08-15,266.32,262.2,267.76,260.96,10398.48328
2015-08-16,262.04,259.9,262.9,256.5,27231.34118
2015-08-17,259.9,258.49,262.37,257.4,9940.9194
2015-08-18,258.5,214,258.5,162,88032.39934
2015-08-19,214.09,226.32,255.08,198,78315.06981
2015-08-20,226.27,235.54,237.94,226.27,26308.87033
2015-08-21,235.55,232.17,236.43,228.76,13064.18358
2015-08-22,232.46,230.27,234.71,221.77,20895.61342
2015-08-23,230.33,228.53,232.88,223.05,12119.38389
2015-08-24,228.1,210.5,228.69,207.62,53295.40794
2015-08-25,210.49,222.68,228.77,196.6,69277.66517
2015-08-26,222.68,226.12,232.38,220.1,23772.39595
2015-08-27,226.13,225.76,229.5,224,11742.60059
2015-08-28,225.66,231.83,238.9,220.11,27328.70337
2015-08-29,232.08,230.75,234.03,227.16,10072.00742
2015-08-30,230.9,229.99,233.96,225.2,8821.011965
2015-08-31,229.99,231.35,233.69,225.31,10923.5834
2015-09-01,231.06,228.24,232.39,226.55,9810.611827
2015-09-02,228.24,229.71,231.89,226.51,9011.856467
2015-09-03,229.71,227.25,229.96,226.1,6915.709671
2015-09-04,227.29,230.89,231.66,227.01,10799.59832
2015-09-05,230.88,235.84,239.76,230.01,12199.23029
2015-09-06,235.84,240.97,248.48,235.5,20519.61403
2015-09-07,241,240.85,243,239.03,6949.441158
2015-09-08,240.91,244.2,247.68,240.27,16374.81175
2015-09-09,244.2,239.07,245.57,238.38,14351.38526
2015-09-10,238.97,239.49,241.9,237.01,10791.49281
2015-09-11,239.4,240.6,242.89,228.42,10243.49204
2015-09-12,240.9,235.77,241,235.33,9280.942915
2015-09-13,235.86,230.96,236.85,228.95,10215.58303
2015-09-14,231.11,230.89,233.9,228.4,9416.990723
2015-09-15,231.07,230.93,232.93,227.33,7621.528125
2015-09-16,230.91,228.99,232.12,227.38,8185.353556
2015-09-17,228.99,233.61,235.94,228.99,12037.78995
2015-09-18,233.65,228.34,236.26,227,9007.772553
2015-09-19,233.79,232.09,234.19,231.5,4329.157273
2015-09-20,232.01,232.12,233.38,231.4,3457.174174
2015-09-21,232.11,227.22,232.97,226.38,9274.079853
2015-09-22,227.25,231.11,233.95,224.25,18854.93661
2015-09-23,231.43,230.54,233,230.03,5720.275475
2015-09-24,230.57,234.65,236.25,230.54,15377.24097
2015-09-25,234.65,235.26,237.7,233.05,9861.427777
2015-09-26,235.39,234.63,235.95,233.75,4796.048117
2015-09-27,234.63,233.37,234.78,233,2592.001554
2015-09-28,233.37,240.43,241.44,233.37,12488.22016
2015-09-29,240.43,236.8,241.5,236.61,9459.778905
2015-09-30,236.9,236.49,238.78,235.11,5152.915201
2015-10-01,236.72,238.48,240.09,236.19,6107.430969
2015-10-02,238.25,237.86,240,237.33,5607.989365
2015-10-03,237.84,239.79,241.11,237.68,6221.097363
2015-10-04,239.73,239.5,240.93,239.29,2081.942415
2015-10-05,239.47,242,242.89,236.24,12198.93702
2015-10-06,242.01,247.36,249.01,241.51,16277.34954
2015-10-07,247.35,244,247.93,243.5,8806.626529
2015-10-08,244,243,245.65,242.62,6046.705284
2015-10-09,242.99,244.82,245.45,242.63,3572.489262
2015-10-10,244.93,246.01,246.41,243.5,4196.526677
2015-10-11,245.93,247.99,248.73,243.75,4868.941702
2015-10-12,247.92,246.17,248.45,245.21,5203.509982
2015-10-13,246.15,251.25,253.43,244,16746.31969
2015-10-14,251.08,253.5,255.95,250.1,10143.26694
2015-10-15,253.5,255.19,257.5,253.44,10462.87049
2015-10-16,255.19,263.45,267.83,254.91,21966.84228
2015-10-17,263.47,272.9,275.19,258.32,42840.66768
2015-10-18,272.9,265.01,274.66,263.3,15347.19309
2015-10-19,265.29,265.1,268.28,262.35,10903.41917
2015-10-20,265.02,270.97,273.97,264.39,14439.64409
2015-10-21,270.99,267.8,272.28,264.1,10617.4463
2015-10-22,267.99,275.83,279.97,267.3,27240.76958
2015-10-23,275.83,279.21,280.9,275.15,15857.56334
2015-10-24,279.04,284.19,284.47,279,13934.58657
2015-10-25,284.19,284.79,295.99,281.2,40017.6508
2015-10-26,284.7,287.22,287.92,282.25,17157.55628
2015-10-27,287.22,295.29,298.86,286.71,26822.84229
2015-10-28,295.29,304.5,307.99,295.29,35610.6397
2015-10-29,304.5,314.88,321.53,301.5,51213.84331
2015-10-30,314.23,328.19,336,313.82,62862.23794
2015-10-31,328.2,316,335.87,307.2,42942.31179
2015-11-01,316,330.23,333.49,313.6,25673.08702
2015-11-02,330.23,365.33,373.12,326.8,71218.14799
2015-11-03,365.08,405,423.88,361.11,171811.4742
2015-11-04,404.98,409.24,504,366.66,274470.2382
2015-11-05,409.23,387.14,449.95,370,157932.048
2015-11-06,387.93,375.56,396.78,351.2,106656.2053
2015-11-07,375.56,384.99,392.23,371.32,34416.71346
2015-11-08,384.28,374.1,390.33,365.56,30831.92301
2015-11-09,374.52,381.1,388.99,360,38111.95485
2015-11-10,381.1,340.18,383.4,327.02,88482.2857
2015-11-11,340.18,314.45,343.79,300.28,117018.9315
2015-11-12,314.45,336.84,346.44,314.14,57236.75521
2015-11-13,336.86,338.53,343.75,326.22,29935.63023
2015-11-14,338.54,333.37,340.72,328.5,20324.62677
2015-11-15,333.39,320.52,336.6,315,31597.16786
2015-11-16,320.8,332.1,335,315.2,25747.01424
2015-11-17,332.16,336.29,342.5,331.05,27167.97702
2015-11-18,336.29,335.94,338.99,327.91,15625.53832
2015-11-19,335.83,326.5,336.57,324.02,18932.55286
2015-11-20,326.49,322.2,326.77,309.46,30160.01025
2015-11-21,322.29,327.84,329.35,318.95,10478.85572
2015-11-22,327.84,324.66,327.85,320.36,7051.90999
2015-11-23,324.66,323.63,327.5,320.9,7775.675157
2015-11-24,323.65,320.1,323.77,315.55,9618.01049
2015-11-25,320.49,329.85,332.43,316.02,20618.1657
2015-11-26,329.85,354,369.9,329.35,81494.12981
2015-11-27,354,358.9,367,348.18,34902.85886
2015-11-28,359,358.6,362.44,351,19427.67779
2015-11-29,358.54,373.89,376,355.17,25800.68952
2015-11-30,373.84,376.88,384.99,368.11,47495.85538
2015-12-01,376.89,362.59,379.99,353.1,44101.91748
2015-12-02,362.59,359.12,363.22,346.13,31554.77112
2015-12-03,359.12,360.53,371.5,352.25,27383.7999
2015-12-04,360.62,363.17,364.4,354.31,14651.4875
2015-12-05,363.04,389.79,395,362.08,46142.2954
2015-12-06,390.01,390.6,407.57,386.01,60599.92466
2015-12-07,390.88,396.7,404.24,384.53,33608.01167
2015-12-08,397,422,422.39,388.37,33197.62323
2015-12-09,422,418.73,426.59,405,52055.32071
2015-12-10,418.86,414.94,421.82,411.09,21325.44368
2015-12-11,414.88,457,458.99,414.8,75656.53043
2015-12-12,456.32,435.61,475.04,402.5,104706.951
2015-12-13,435.61,433.36,443.92,415.24,33630.91541
2015-12-14,432.91,442.59,450,427.3,27298.36713
2015-12-15,442.55,466.01,467.29,442.51,41307.22114
2015-12-16,466.43,454.94,469.99,440,67047.0154
2015-12-17,454.94,455.57,458.56,446.21,17868.85559
2015-12-18,455.71,463.52,466.6,450.1,27050.45154
2015-12-19,463.51,462.44,467,452,21223.57972
2015-12-20,462.45,442.62,462.78,431.5,46323.16553
2015-12-21,442.62,437.52,447.45,424.37,43203.80505
2015-12-22,437.81,435.65,443.64,433,18516.12085
2015-12-23,435.05,442.62,445.76,433.62,16464.78678
2015-12-24,442.62,456.13,459.1,442.45,19865.73832
2015-12-25,456.02,455.47,460,445,15176.72803
2015-12-26,455.3,416.51,460.05,405.5,96491.88017
2015-12-27,416.35,422.32,424.89,407,27798.81551
2015-12-28,421.82,420.24,429,417.01,24284.33008
2015-12-29,420.11,431.79,433.55,418.01,22073.5632
2015-12-30,431.77,423.55,434,420,22247.59646
2015-12-31,423.51,429.02,432.59,412.5,21403.65928
2016-01-01,429.17,433.98,436.49,426.26,13077.66891
2016-01-02,433.89,432.7,435.8,430,6347.952931
2016-01-03,432.66,428.39,433.07,421.73,19201.83336
2016-01-04,428.63,432.9,435.67,426.97,12950.38203
2016-01-05,432.61,431.84,434.91,427.91,11172.00382
2016-01-06,431.99,428.89,432.24,425.03,9440.114764
2016-01-07,428.2,458.78,462,427.11,55448.62348
2016-01-08,458.41,454,465,446.55,29967.95309
2016-01-09,454,449.23,456.01,447.07,8950.479347
2016-01-10,449.23,449.35,450.26,441.01,13778.25597
2016-01-11,449.34,449.26,452.49,443.42,14814.61192
2016-01-12,449.26,432.04,449.98,427.01,20739.28808
2016-01-13,431.99,431.11,436.36,416,33154.90771
2016-01-14,431.09,429.25,435,426,13304.53779
2016-01-15,429.27,359.16,429.43,357.02,123890.2707
2016-01-16,359.16,388.4,392.5,352.5,74062.26019
2016-01-17,388.43,382.02,393.31,378.76,20715.0043
2016-01-18,382.11,387.1,390,375.01,19469.04404
2016-01-19,387.04,378.93,388.61,377.41,17187.63604
2016-01-20,378.94,419.55,428,375.01,82802.50153
2016-01-21,419.65,411.01,424.57,405,29020.24648
2016-01-22,411,380.96,411.2,371.25,62213.91956
2016-01-23,381,385.57,394.81,379.85,21470.9185
2016-01-24,385.55,402.77,407.33,385.1,23219.92784
2016-01-25,402.76,390.96,402.77,384,22664.63967
2016-01-26,390.91,391.41,398,386.66,13322.87043
2016-01-27,391.23,394.97,396.99,389.66,8538.432036
2016-01-28,394.7,378.39,395.48,375.01,25024.08114
2016-01-29,378.15,377.6,386,360.03,62204.81103
2016-01-30,377.4,376.56,380.6,374,10501.94798
2016-01-31,376.31,365.52,378.9,362.57,14887.77869
2016-02-01,365.58,371.42,379.27,363.23,24797.19676
2016-02-02,371.22,372.9,374.8,369.69,10443.46214
2016-02-03,372.9,368.98,374,365.65,13195.1502
2016-02-04,369,389.96,393.89,368.65,37339.91926
2016-02-05,389.98,386.54,393,384.19,16879.23587
2016-02-06,386.54,373.75,386.54,365,40202.13385
2016-02-07,373.71,372.01,377.8,369.17,13056.06239
2016-02-08,372.26,370.49,377,369.01,16881.20552
2016-02-09,370.29,374.31,377.96,370.04,9216.518899
2016-02-10,374.43,381.17,387,373.13,33532.24586
2016-02-11,380.97,377.99,383.23,372.25,14521.32802
2016-02-12,378,382.94,383.53,377.04,10146.83585
2016-02-13,382.94,393,393,382.55,14755.53766
2016-02-14,392.99,408.3,408.66,392.93,29423.67609
2016-02-15,408.3,399.9,412.5,395.23,30129.68519
2016-02-16,400.08,407.27,408.77,398.66,13991.05678
2016-02-17,407.37,414.88,421.9,405.16,30400.76489
2016-02-18,414.89,421.5,426.21,412.51,25228.63443
2016-02-19,421.51,419.85,422.54,412,13268.55625
2016-02-20,419.72,438.7,445.96,419.72,47477.18201
2016-02-21,438.73,440.49,451.6,428.01,43012.3641
2016-02-22,440.49,440.27,442.5,433.01,16337.46644
2016-02-23,440.25,421.4,442.67,416.24,32431.14308
2016-02-24,421.5,426.36,427.5,409.69,22426.109
2016-02-25,426.36,424.88,430,419.5,13595.76031
2016-02-26,424.89,435.49,435.9,419.83,18860.34189
2016-02-27,435.49,434.3,438.6,431.81,11592.35337
2016-02-28,434.03,434.45,437.89,422.1,19852.2711
2016-02-29,434.46,438.99,445,430.51,20389.46046
2016-03-01,439.53,434.82,442.79,427.26,19625.83278
2016-03-02,434.99,422.09,436.45,421.11,16463.12915
2016-03-03,421.7,420.56,424.43,416.4,20874.0514
2016-03-04,420.19,408.82,423.99,407.5,21749.41986
2016-03-05,408.71,397.36,410.14,389,46951.8516
2016-03-06,397.37,403.75,409.5,392.01,19707.20472
2016-03-07,403.77,412.7,415.8,401.51,15306.22133
2016-03-08,412.62,411.35,416,406,10227.45551
2016-03-09,411.34,413.05,414.5,407.47,9027.753219
2016-03-10,412.9,416.51,418.24,410.68,13709.08292
2016-03-11,416.64,420.47,423.6,415.5,15464.77864
2016-03-12,420.49,410.01,421.81,406.38,17020.42554
2016-03-13,410.01,411.87,416,410,7628.342534
2016-03-14,412,415.91,417.99,411.7,9210.432259
2016-03-15,415.99,415.5,418.82,412.78,9632.105654
2016-03-16,415.52,417.28,418,413.96,7066.706447
2016-03-17,417.28,418.75,420.6,416.67,8308.821378
2016-03-18,418.71,407.86,418.86,403.01,21090.86036
2016-03-19,407.5,408.68,412,404,8954.99064
2016-03-20,408.7,411.25,413.2,407.92,5655.496142
2016-03-21,410.81,411.88,412.14,406,7818.387808
2016-03-22,411.85,417.7,418.68,409.88,10196.10581
2016-03-23,417.7,418.12,419.72,415.83,7195.021234
2016-03-24,418.12,415.3,418.13,414,7559.671086
2016-03-25,415.3,416,417.03,413.03,3690.245881
2016-03-26,416.02,416.71,419.4,413.2,5039.739359
2016-03-27,416.72,427.36,431,415.79,22410.7569
2016-03-28,427.34,424.06,427.99,422.38,9241.0165
2016-03-29,424.03,416,426.41,406.51,23306.7306
2016-03-30,415.87,413.12,416,408.58,9037.930675
2016-03-31,413.04,416.02,418.25,413.04,7268.31766
2016-04-01,416.34,417.9,417.9,414,5456.769439
2016-04-02,417.89,420.3,422.8,417.53,6070.788239
2016-04-03,420.31,420.6,421.82,416,4254.119948
2016-04-04,420.99,420.46,421.2,416.24,5751.293142
2016-04-05,420.46,423.75,425,419.61,7261.820827
2016-04-06,423.75,422.57,424.68,421.69,5680.193073
2016-04-07,422.52,422.28,422.86,417.78,7727.140246
2016-04-08,422.29,418.5,424.49,415.5,9847.578526
2016-04-09,418.23,418.47,418.76,412,6326.973499
2016-04-10,418.48,421.32,422.9,417.49,4248.021756
2016-04-11,421.32,423.74,423.9,418.8,6404.839315
2016-04-12,423.75,426.59,430,423.56,14772.70507
2016-04-13,426.78,424.75,427.68,423,6666.454459
2016-04-14,424.77,426.01,426.49,424.01,4132.516662
2016-04-15,426.01,431.48,432.49,426.01,15836.34443
2016-04-16,431.06,432.04,435.67,430.47,7705.230141
2016-04-17,432.52,428.51,433.49,426.37,8483.817213
2016-04-18,428.51,430.03,430.91,426.52,7577.099822
2016-04-19,430.04,437.76,439,428.54,12049.76317
2016-04-20,437.81,443.85,446.61,436.6,21245.46998
2016-04-21,443.82,452.26,454.5,442.01,17836.12815
2016-04-22,452.01,447.8,453.15,444.51,12208.12422
2016-04-23,447.79,453.69,454.95,445.67,10158.08874
2016-04-24,453.41,463.02,464.99,450.18,24137.22663
2016-04-25,463.33,461.77,471.58,455,25926.48596
2016-04-26,461.77,468.14,471.99,461.77,18688.00356
2016-04-27,468.14,444.85,470.17,443,40283.22481
2016-04-28,445.14,450.46,450.83,435,25328.14705
2016-04-29,450.52,455.32,457.49,445.8,13419.02987
2016-04-30,455.33,446.6,455.98,445.01,10583.37006
2016-05-01,446.79,451.11,452.99,445.69,3901.338943
2016-05-02,451.12,443.73,452.5,436,29738.73406
2016-05-03,443.99,450.39,452,440.1,12157.57209
2016-05-04,450.21,447.38,450.98,445.07,7045.363569
2016-05-05,447.22,448.4,451.68,445.51,10788.72697
2016-05-06,448.32,461.18,466,448,26539.51961
2016-05-07,461.36,460.2,463.05,458.3,7810.854924
2016-05-08,460.34,459.87,461.62,456.04,6454.871891
2016-05-09,459.88,461.56,465.4,457.8,15120.94676
2016-05-10,461.23,450.7,465,445.01,22571.93909
2016-05-11,450.7,452.28,454.68,450.01,8033.34447
2016-05-12,452.28,455.01,456.75,445.91,18088.0116
2016-05-13,455,455.76,457.66,452,7127.417905
2016-05-14,455.75,455.8,458.86,454,3608.809029
2016-05-15,455.8,457.89,460.67,454.31,5644.052143
2016-05-16,457.95,453.01,458.95,451,8789.987837
2016-05-17,453,453.24,454.91,451,7609.40911
