date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
2016-12-22,117.55,117.9,117.23,117.51
2016-12-21,117.83,118.07,117.07,117.55
2016-12-20,117.07,118.28,116.95,117.83
2016-12-19,117.87,118.03,116.52,117.07
2016-12-16,118.17,118.43,117.44,117.87
2016-12-15,117.03,118.67,116.96,118.17
2016-12-14,115.16,117.39,114.74,117.03
2016-12-13,115.01,115.5,114.71,115.16
2016-12-12,115.22,116.12,114.82,115.01
2016-12-09,114,115.4,113.96,115.22
2016-12-08,113.71,114.39,113.11,114
2016-12-07,113.99,114.41,113.38,113.71
2016-12-06,113.84,114.22,113.46,113.99
2016-12-05,113.52,114.8,112.84,113.84
2016-12-02,114.06,114.25,113.29,113.52
2016-12-01,114.44,114.83,113.79,114.06
2016-11-30,112.38,114.56,112.02,114.44
2016-11-29,111.91,113.36,111.58,112.38
2016-11-28,113.03,113.12,111.32,111.91
2016-11-25,113.32,113.91,112.53,113.03
2016-11-24,112.48,113.58,112.34,113.32
2016-11-23,111.09,112.98,110.81,112.48
2016-11-22,110.8,111.36,110.23,111.09
2016-11-21,110.89,111.4,110.42,110.8
2016-11-18,110.09,110.98,109.76,110.89
2016-11-17,109.04,110.2,108.51,110.09
2016-11-16,109.17,109.77,108.76,109.04
2016-11-15,108.4,109.36,107.74,109.17
2016-11-14,106.53,108.56,106.51,108.4
2016-11-11,106.81,106.94,106,106.53
2016-11-10,105.65,106.95,104.95,106.81
2016-11-09,105.12,105.91,101.15,105.65
2016-11-08,104.44,105.22,104.27,105.12
2016-11-07,103.12,104.64,103.08,104.44
2016-11-04,102.96,103.37,102.81,103.12
2016-11-03,103.29,103.45,102.54,102.96
2016-11-02,104.12,104.19,102.99,103.29
2016-11-01,104.81,105.14,103.78,104.12
2016-10-31,104.68,105.23,104.24,104.81
2016-10-28,105.27,105.55,104.46,104.68
2016-10-27,104.45,105.35,104.27,105.27
2016-10-26,104.21,104.62,103.99,104.45
2016-10-25,104.17,104.88,104.09,104.21
2016-10-24,103.84,104.33,103.69,104.17
2016-10-21,103.92,104.23,103.5,103.84
2016-10-20,103.43,104.11,103.32,103.92
2016-10-19,103.84,103.94,103.15,103.43
2016-10-18,103.87,104.22,103.65,103.84
2016-10-17,104.05,104.39,103.76,103.87
2016-10-14,103.69,104.48,103.58,104.05
2016-10-13,104.21,104.64,103.32,103.69
2016-10-12,103.49,104.5,103.25,104.21
2016-10-11,103.59,104.08,103.14,103.49
2016-10-10,103.07,103.81,102.78,103.59
2016-10-07,103.92,104.05,102.84,103.07
2016-10-06,103.48,104.17,103.32,103.92
2016-10-05,102.87,103.67,102.65,103.48
2016-10-04,101.62,102.97,101.54,102.87
